iter	MultiClass
140	0.7564747911
141	0.7556610173
142	0.7548866675
143	0.7542326027
144	0.7535708483
145	0.7530103237
146	0.7520058747
147	0.7516797606
148	0.7501535111
149	0.7494972805
150	0.749306254
151	0.7489894237
152	0.7477601747
153	0.7461700824
154	0.7459362864
155	0.7455006516
156	0.7453761784
157	0.7447421007
158	0.7443321069
159	0.7440570864
160	0.7437915704
161	0.7434415868
162	0.7432391681
163	0.7431609434
164	0.7426071477
165	0.7412955944
166	0.7398836377
167	0.7394160492
168	0.7383384767
169	0.7376977924
170	0.7371478029
171	0.7362182526
172	0.7360577994
173	0.7356613995
174	0.735487875
175	0.7353657291
176	0.7349009574
177	0.7347768234
178	0.7344494562
179	0.7333832113
180	0.7329413442
181	0.73229893
182	0.7319452428
183	0.7318124925
184	0.7315160705
185	0.731060846
186	0.7309369267
187	0.7302723585
188	0.7299029193
189	0.7295359493
190	0.7292467983
191	0.7291004987
192	0.7279247551
193	0.7276042917
194	0.7272999477
195	0.7270828654
196	0.7261538932
197	0.7259328024
198	0.7257733441
199	0.725592054
200	0.7249374728
201	0.7243607925
202	0.724321434
203	0.7233837779
204	0.72294119
205	0.7212760372
206	0.7211402722
207	0.7207002045
208	0.7197212452
209	0.7188865292
210	0.7184661002
211	0.7180750313
212	0.7172643805
213	0.7162342417
214	0.7158375183
215	0.7152743381
216	0.7150863245
217	0.7140876256
218	0.7138059493
219	0.7130669855
220	0.7128861954
221	0.712597531
222	0.7122493362
223	0.7108802839
224	0.7099819549
225	0.7095133635
226	0.7086595223
227	0.7079190669
228	0.7074874921
229	0.7070596416
230	0.7060543963
231	0.7053349946
232	0.7047941721
233	0.7043326572
234	0.7033184823
235	0.7017311936
236	0.7007851148
237	0.6998103269
238	0.698861632
239	0.6984071682
240	0.69753915
241	0.6969411529
242	0.6965477382
243	0.696068338
244	0.6954612801
245	0.6948823641
246	0.6945233662
247	0.694084431
248	0.6933799057
249	0.6926481773
250	0.6920170189
251	0.6916621237
252	0.6911624742
253	0.6905912336
254	0.6899621234
255	0.6896099458
256	0.6888311351
257	0.6881395899
258	0.6875313575
259	0.6871215879
260	0.6868029024
261	0.6863321488
262	0.6857616117
263	0.6845956238
264	0.6843401109
265	0.6835234908
266	0.6832263816
267	0.6828338584
268	0.6823936541
269	0.6821235639
270	0.6817454134
271	0.6812501644
272	0.6806913893
273	0.6801294206
274	0.6797474021
275	0.6794940852
276	0.6788770804
277	0.6784706196
278	0.677977241
279	0.6772729625
280	0.6767405971
281	0.6761591061
282	0.6757766367
283	0.6754135647
284	0.6749752001
285	0.6744213834
286	0.6739252595
287	0.6734687221
288	0.6732635414
289	0.6729320367
290	0.6724804666
291	0.6720928864
292	0.6715017332
293	0.6711669445
294	0.6708733938
295	0.6704988266
296	0.6703040349
297	0.6699612173
298	0.6697330027
299	0.669407817
300	0.6690706939
301	0.668565211
302	0.6684430712
303	0.6682581594
304	0.6675785459
305	0.6672650976
306	0.6671220521
307	0.6663925984
308	0.6658766864
309	0.6655000676
310	0.6653978681
311	0.6649618446
312	0.6648448377
313	0.6647421228
314	0.6644585161
315	0.6642127058
316	0.6639508904
317	0.6637248921
318	0.6634537477
319	0.6633590478
320	0.6630105615
321	0.6626798392
322	0.6624426204
323	0.6623360338
324	0.6620429104
325	0.6615899398
326	0.6614317271
327	0.660882077
328	0.6604402377
329	0.660311012
330	0.6599455374
331	0.6594023822
332	0.6591296386
333	0.6589404489
334	0.6586228363
335	0.6583150505
336	0.6580686421
337	0.657829522
338	0.657817621
339	0.6576622847
340	0.6572994694
341	0.6569292316
342	0.6566275296
343	0.6564568327
344	0.6562489671
345	0.656026567
346	0.6557365924
347	0.655402401
348	0.6551335104
349	0.6549097742
350	0.6547679999
351	0.6542591777
352	0.6539276684
353	0.6535659591
354	0.6533951533
355	0.65317513
356	0.6530530704
357	0.6526131008
358	0.6523840239
359	0.6521616899
360	0.6519131209
361	0.6511390691
362	0.6511208757
363	0.6508296455
364	0.6506732151
365	0.6499913378
366	0.6497866371
367	0.6496303938
368	0.6492887268
369	0.6492051358
370	0.6489898363
371	0.6488589738
372	0.6487375191
373	0.6485606368
374	0.6481117419
375	0.6478592439
376	0.6473965873
377	0.647214936
378	0.6468757756
379	0.6467533579
380	0.6467003723
381	0.6463731716
382	0.646353517
383	0.6461003554
384	0.6459959185
385	0.6456874961
386	0.6454213062
387	0.6453318426
388	0.6451339147
389	0.6447266295
390	0.6440907545
391	0.6438848536
392	0.6436960932
393	0.6435303174
394	0.6434153973
395	0.6432536959
396	0.6428366702
397	0.6424078544
398	0.6420059074
399	0.6419087924
400	0.6417053464
401	0.641496093
402	0.6412446876
403	0.6409904347
404	0.6408802784
405	0.6406884277
406	0.6403209327
407	0.6401631686
408	0.6398382627
409	0.6396591844
410	0.6393671083
411	0.6389426374
412	0.6388446126
413	0.6387568406
414	0.6385584106
415	0.6383571138
416	0.638284222
417	0.6381398605
418	0.6379050221
419	0.6375231886
420	0.6372568747
421	0.6370772306
422	0.6369745422
423	0.6368295363
424	0.6366751452
425	0.6365013277
426	0.6363211517
427	0.6360612806
428	0.6357365688
429	0.6357277682
430	0.6353478027
431	0.6352049075
432	0.6350634765
433	0.6346424954
434	0.6344371108
435	0.6343139894
436	0.63419539
437	0.6341875414
438	0.6339292137
439	0.633701355
440	0.6333557013
441	0.6325819358
442	0.6323811542
443	0.6322077162
444	0.6320765568
445	0.632050261
446	0.6319030047
447	0.6318949112
448	0.6316939414
449	0.6315019279
450	0.6313478767
451	0.6311300679
452	0.6309721063
453	0.6308148206
454	0.6304718481
455	0.6303160308
456	0.6303081685
457	0.6300478471
458	0.6299113201
459	0.6297651732
460	0.6291130369
461	0.6287661177
462	0.6286232188
463	0.6284965522
464	0.6282557748
465	0.6281617186
466	0.6279716424
467	0.6277539867
468	0.6275756687
469	0.6275656411
470	0.6275002617
471	0.6271122267
472	0.6267486734
473	0.6260027947
474	0.6254976878
475	0.6253891918
476	0.6250726213
477	0.6248328779
478	0.6248040552
479	0.6247928601
480	0.6246046287
481	0.6243956418
482	0.624287207
483	0.6241060448
484	0.6240240681
485	0.6237921804
486	0.6236352318
487	0.6234701142
488	0.6234486497
489	0.6234385107
490	0.6230998177
491	0.6229413256
492	0.6227856822
493	0.6225820708
494	0.6225721245
495	0.6223685013
496	0.6222146178
497	0.6219657838
498	0.6217690736
499	0.6215936113
