iter	Passed	Remaining
461	795	926
462	797	924
463	798	922
464	800	920
465	801	918
466	803	916
467	804	914
468	806	913
469	808	911
470	809	909
471	811	907
472	812	905
473	814	903
474	815	901
475	817	899
476	819	898
477	820	896
478	822	894
479	823	892
480	825	890
481	826	888
482	828	886
483	829	884
484	831	882
485	832	880
486	834	878
487	835	876
488	837	875
489	839	873
490	840	871
491	842	869
492	843	867
493	845	866
494	847	864
495	849	862
496	850	860
497	852	859
498	853	857
499	855	855
500	857	853
501	858	852
502	860	850
503	862	848
504	863	846
505	865	844
506	866	842
507	868	841
508	870	839
509	871	837
510	873	835
511	875	834
512	876	832
513	878	830
514	879	828
515	881	826
516	886	828
517	890	828
518	892	827
519	896	827
520	898	825
521	900	824
522	902	823
523	905	822
524	908	822
525	912	821
526	915	822
527	918	821
528	921	820
529	923	818
530	926	818
531	929	818
532	932	817
533	935	816
534	937	815
535	940	814
536	943	813
537	947	813
538	949	812
539	952	811
540	958	812
541	960	811
542	962	809
543	964	808
544	966	806
545	968	804
546	969	803
547	971	801
548	973	799
549	975	798
550	977	796
551	980	795
552	982	794
553	984	792
554	987	791
555	989	790
556	991	788
557	993	786
558	995	785
559	997	783
560	999	781
561	1000	780
562	1002	778
563	1004	776
564	1006	774
565	1008	773
566	1009	771
567	1011	769
568	1013	767
569	1015	766
570	1017	764
571	1019	762
572	1021	760
573	1022	759
574	1024	757
575	1026	755
576	1028	753
577	1029	751
578	1031	750
579	1033	748
580	1035	746
581	1036	744
582	1039	743
583	1040	741
584	1042	739
585	1044	737
586	1045	735
587	1047	733
588	1048	731
589	1050	730
590	1052	728
591	1054	726
592	1055	724
593	1057	722
594	1059	721
595	1061	719
596	1063	718
597	1065	716
598	1067	714
599	1069	712
600	1071	711
601	1073	709
602	1075	707
603	1077	706
604	1078	704
605	1080	702
606	1082	700
607	1084	699
608	1086	697
609	1088	695
610	1090	694
611	1091	692
612	1093	690
613	1095	688
614	1096	686
615	1098	684
616	1100	683
617	1102	681
618	1104	679
619	1105	677
620	1107	675
621	1109	674
622	1110	672
623	1112	670
624	1115	669
625	1117	667
626	1119	665
627	1120	664
628	1122	662
629	1124	660
630	1126	658
631	1128	657
632	1130	655
633	1131	653
634	1133	651
635	1135	649
636	1137	648
637	1139	646
638	1141	644
639	1142	642
640	1144	641
641	1146	639
642	1148	637
643	1150	635
644	1151	633
645	1153	632
646	1154	630
647	1156	628
648	1158	626
649	1159	624
650	1161	622
651	1163	620
652	1164	618
653	1166	617
654	1167	615
655	1169	613
656	1171	611
657	1172	609
658	1174	607
659	1176	605
660	1177	604
661	1179	602
662	1181	600
663	1183	598
664	1185	597
665	1187	595
666	1189	593
667	1190	591
668	1192	589
669	1194	588
670	1195	586
671	1197	584
672	1198	582
673	1200	580
674	1202	579
675	1204	577
676	1206	575
677	1207	573
678	1209	571
679	1211	570
680	1213	568
681	1214	566
682	1216	564
683	1218	562
684	1220	561
685	1222	559
686	1223	557
687	1225	555
688	1227	553
689	1228	551
690	1230	550
691	1232	548
692	1234	546
693	1236	545
694	1237	543
695	1239	541
696	1241	539
697	1243	537
698	1244	536
699	1246	534
700	1248	532
701	1249	530
702	1251	528
703	1253	526
704	1254	525
705	1256	523
706	1258	521
707	1260	519
708	1261	517
709	1263	516
710	1265	514
711	1267	512
712	1269	510
713	1271	509
714	1273	507
715	1275	505
716	1276	503
717	1278	502
718	1280	500
719	1282	498
720	1284	497
721	1286	495
722	1287	493
723	1289	491
724	1291	489
725	1293	488
726	1294	486
727	1296	484
728	1298	482
729	1300	480
730	1301	479
731	1303	477
732	1305	475
733	1307	473
734	1308	471
735	1310	470
736	1312	468
737	1314	466
738	1316	465
739	1318	463
740	1320	461
741	1321	459
742	1323	457
743	1325	456
744	1326	454
745	1328	452
746	1330	450
747	1332	449
748	1334	447
749	1336	445
750	1338	443
751	1339	441
752	1342	440
753	1344	438
754	1345	436
755	1347	434
756	1349	433
757	1351	431
758	1353	429
759	1355	428
760	1357	426
761	1359	424
762	1360	422
763	1362	420
764	1364	419
765	1365	417
766	1367	415
767	1369	413
768	1371	411
769	1372	410
770	1374	408
771	1376	406
772	1377	404
773	1379	402
774	1381	401
775	1383	399
776	1385	397
777	1387	395
778	1388	393
779	1390	392
780	1392	390
781	1393	388
782	1395	386
783	1396	384
784	1398	383
785	1400	381
786	1402	379
787	1403	377
788	1405	375
789	1407	374
790	1409	372
791	1410	370
792	1412	368
793	1414	366
794	1416	365
795	1418	363
796	1419	361
797	1421	359
798	1423	358
799	1425	356
800	1427	354
801	1429	352
802	1431	351
803	1432	349
804	1434	347
805	1435	345
806	1437	343
807	1439	341
808	1440	340
809	1442	338
810	1444	336
811	1445	334
812	1447	332
813	1449	331
814	1451	329
815	1453	327
816	1454	325
817	1456	324
818	1458	322
819	1459	320
820	1461	318
821	1462	316
822	1464	314
823	1465	313
824	1467	311
825	1469	309
826	1471	307
827	1472	305
828	1474	304
829	1476	302
830	1478	300
831	1479	298
832	1481	297
833	1483	295
834	1485	293
835	1487	291
836	1488	289
837	1490	288
838	1492	286
839	1494	284
840	1496	282
841	1497	281
842	1499	279
843	1501	277
844	1502	275
845	1504	273
846	1506	272
847	1508	270
848	1509	268
849	1511	266
850	1513	264
851	1515	263
852	1516	261
853	1518	259
854	1520	257
855	1522	256
856	1523	254
857	1525	252
858	1527	250
859	1529	248
860	1531	247
861	1532	245
862	1534	243
863	1535	241
864	1538	240
865	1540	238
866	1541	236
867	1543	234
868	1544	232
869	1546	231
870	1548	229
871	1549	227
872	1551	225
873	1552	223
874	1554	222
875	1555	220
876	1557	218
877	1558	216
878	1560	214
879	1562	213
880	1563	211
881	1565	209
882	1567	207
883	1569	205
884	1571	204
885	1573	202
886	1574	200
887	1576	198
888	1577	197
889	1579	195
890	1581	193
891	1583	191
892	1584	189
893	1586	188
894	1588	186
895	1590	184
896	1591	182
897	1593	180
898	1594	179
899	1596	177
900	1598	175
901	1600	173
902	1601	172
903	1603	170
904	1605	168
905	1607	166
906	1608	164
907	1610	163
908	1612	161
909	1613	159
910	1615	157
911	1617	156
912	1619	154
913	1621	152
914	1623	150
915	1625	149
916	1626	147
917	1628	145
918	1630	143
919	1632	141
920	1634	140
921	1635	138
922	1637	136
923	1639	134
924	1641	133
925	1642	131
926	1644	129
927	1646	127
928	1648	125
929	1650	124
930	1651	122
931	1653	120
932	1655	118
933	1657	117
934	1658	115
935	1660	113
936	1662	111
937	1663	109
938	1665	108
939	1666	106
940	1668	104
941	1670	102
942	1671	101
943	1673	99
944	1675	97
945	1677	95
946	1679	93
947	1681	92
948	1683	90
949	1685	88
950	1687	86
