iter	Logloss
0	0.6883848572
1	0.684094696
2	0.6805738831
3	0.6776200104
4	0.6738104248
5	0.6691117859
6	0.6637516785
7	0.6594826508
8	0.6556225586
9	0.6527147675
10	0.6498298645
11	0.6419630432
12	0.6389578247
13	0.6331795502
14	0.6284430695
15	0.6254612732
16	0.6219422531
17	0.6195472336
18	0.6162275314
19	0.6110572433
20	0.6071527481
21	0.604548645
22	0.6002730179
23	0.5973602295
24	0.5933314896
25	0.5907494354
26	0.5855444717
27	0.5819573212
28	0.5789972687
29	0.5764146042
30	0.5742878723
31	0.5705767822
32	0.5661768341
33	0.5618357468
34	0.5587774658
35	0.5564875031
36	0.5545181656
37	0.5491149139
38	0.5467012787
39	0.5445483398
40	0.5431691742
41	0.5393393707
42	0.537283287
43	0.5354426575
44	0.5328606415
45	0.5314777374
46	0.5288240051
47	0.5259830093
48	0.5234112549
49	0.5202814102
50	0.518767662
51	0.5166994858
52	0.5136061478
53	0.5117629242
54	0.5087735367
55	0.5078647995
56	0.5064297867
57	0.5033103943
58	0.5019129944
59	0.5005358887
60	0.4974491882
61	0.4964021301
62	0.4935349274
63	0.4912135315
64	0.4898528671
65	0.4884878922
66	0.4873642731
67	0.4861170959
68	0.4845471954
69	0.4817247772
70	0.4782984161
71	0.4769820023
72	0.4752715302
73	0.4739074326
74	0.4720158386
75	0.468285141
76	0.4672357178
77	0.4652889252
78	0.4645101166
79	0.4634873962
80	0.4618219757
81	0.4601432037
82	0.4574983215
83	0.4559998703
84	0.4546617508
85	0.4523293686
86	0.450933342
87	0.4483402634
88	0.445851593
89	0.444829483
90	0.4419184875
91	0.4404453278
92	0.4384041977
93	0.4374308777
94	0.4357794189
95	0.4347348022
96	0.4335178375
97	0.4324492645
98	0.4314923859
99	0.4299953842
100	0.4288095474
101	0.4274116516
102	0.4265761948
103	0.425439415
104	0.4246059418
105	0.4218027496
106	0.4204449463
107	0.4194739914
108	0.4179695129
109	0.4167929459
110	0.415999794
111	0.4152326965
112	0.4145037079
113	0.4127186966
114	0.4115392303
115	0.4106189728
116	0.4092835236
117	0.4080669785
118	0.4076973343
119	0.4063825989
120	0.4040359879
121	0.4033285522
122	0.4015981293
123	0.4010004425
124	0.3997167206
125	0.3988552856
126	0.3979273605
127	0.3961307144
128	0.3953499603
129	0.3948535919
130	0.3940150452
131	0.3926611328
132	0.3909208679
133	0.3899011612
134	0.3891043091
135	0.388432312
136	0.3870732117
137	0.3862660599
138	0.3849809265
139	0.3840448761
140	0.3830521774
141	0.3821855164
142	0.3813709259
143	0.3806968689
144	0.3797450638
145	0.3791188049
146	0.3779118729
147	0.3768711853
148	0.3759112167
149	0.3749299622
150	0.3738865662
151	0.373088913
152	0.3726047516
153	0.371577034
154	0.3708687973
155	0.3697948456
156	0.3686203003
157	0.3679595184
158	0.3676072693
159	0.3670393753
160	0.3663421249
161	0.3658432007
162	0.3654587173
163	0.3645211411
164	0.3642061615
165	0.3637699509
166	0.3631059647
167	0.3625878906
168	0.3620600891
169	0.3616291046
170	0.361134491
171	0.3603638458
172	0.3597561264
173	0.3588114166
174	0.3582535172
175	0.3575853729
176	0.3567827606
177	0.3559347153
178	0.3553290939
179	0.3547690582
180	0.354142189
181	0.3536930847
182	0.3526695251
183	0.3521931839
184	0.351680336
185	0.3511453629
186	0.3506046295
187	0.350161438
188	0.3497143173
189	0.3492626953
190	0.3484764099
191	0.3479470062
192	0.3472310638
193	0.3465564346
194	0.3461673737
195	0.3452791977
196	0.3445282745
197	0.3439169312
198	0.3431137848
199	0.3426065063
200	0.3418332672
201	0.34126091
202	0.3408674622
203	0.3405680847
204	0.3400024414
205	0.3397156525
206	0.3394200134
207	0.3390637207
208	0.3384427261
209	0.3379649353
210	0.3376316071
211	0.3369665146
212	0.3365071487
213	0.3357540894
214	0.3351925278
215	0.3345849609
216	0.3339691925
217	0.3334849548
218	0.3328302383
219	0.3323529053
220	0.3321128082
221	0.3312796783
222	0.3308603668
223	0.3304178238
224	0.3301018524
225	0.3296697998
226	0.3293973541
227	0.3288516998
228	0.3283256531
229	0.3279050827
230	0.3274684525
231	0.3271202087
232	0.3265909576
233	0.3259156036
